ubigeo;aet;pet;pr;ro;soil;tmmn;tmmx;vs
210201;54.237239;92.713197;40.958529;2;37.782512;0.258659;15.844578;21.502986
210202;48.426975;95.928767;35.912121;2;20.275738;2.067297;16.854726;21.579679
210203;54.500652;93.387809;40.518637;2;30.548343;0.903266;15.585607;21.88977
210204;53.544208;92.888475;40.033376;2;39.155171;-0.71122;16.342708;21.395446
210205;47.099643;96.667765;35.591136;2;20.328639;2.81733;16.952488;21.622968
210206;55.278717;93.653125;41.44979;2;28.42677;1.862697;15.598423;21.393612
210207;51.983557;93.910824;39.100337;2;22.531935;0.109498;16.456272;21.758781
210208;60.090394;86.940367;45.793873;2.072588;117.071461;-1.211072;13.791669;22.21438
210209;59.050843;88.368697;45.418426;2.016673;107.557203;-1.484587;14.210469;21.553839
210210;50.521098;96.248334;38.07501;2;23.633635;2.950708;16.580283;21.428926
210211;59.592285;87.388343;44.566536;2.019347;107.754559;-2.228485;14.165082;22.23662
210212;58.054474;88.724477;43.84015;2.023665;89.641907;-1.240018;14.787227;21.972998
210213;52.684665;94.158654;39.534236;2;25.279504;1.324429;16.408904;21.327397
210214;51.677606;94.451305;38.568854;2;22.462083;0.750488;16.452402;21.707132
210215;53.253708;93.361183;40.023374;2;26.892768;-0.716148;16.256459;21.869976
210301;59.675407;80.522595;49.764254;2.330855;83.007513;-3.655026;12.745555;22.696645
210302;61.050108;82.074286;49.946947;2.655896;96.057764;-3.161621;12.81301;22.511196
210303;82.249094;87.07582;248.337132;162.154158;98.172894;12.734055;24.034149;15.336086
210304;82.677995;88.392736;211.430656;124.093632;123.776008;12.771226;23.915378;16.178007
210305;56.261052;72.924557;49.872269;4.052963;142.433267;-4.634061;11.905931;23.504936
210306;61.316006;85.384207;48.792714;2.352833;118.629105;-1.869665;13.208246;21.959177
210307;65.670558;78.295767;86.799447;21.831628;79.718114;3.001727;17.138109;18.637131
210308;59.714002;76.495028;56.392779;3.212098;55.470484;-0.226805;15.329002;19.437892
210309;81.052661;84.873173;229.127255;139.19387;84.041632;12.607298;24.01233;14.86479
210310;62.437312;81.476447;53.162322;2.876804;92.544625;-1.109916;13.884632;20.971057
210401;54.975303;95.391225;41.655729;2.434952;34.105985;2.603308;14.192782;23.63442
210402;45.99115;95.69949;31.479252;2.118739;32.042029;2.778329;15.224457;22.407337
210403;42.509504;94.261536;27.40825;1.041884;27.232904;1.080137;13.954596;24.348215
210404;36.702852;97.32434;24.732976;0.50043;21.428644;2.297534;15.271228;23.141779
210405;20.844402;94.541686;15.689946;0.293347;13.715331;-0.688755;13.849863;25.585984
210406;58.638403;95.201722;46.506791;2.520887;39.328423;2.812025;14.377821;23.061223
210407;53.063483;95.396526;39.699431;2.45296;39.441776;2.920694;14.919986;22.591183
210501;53.243078;95.849542;41.011061;1.960873;28.216307;2.928355;14.584447;23.634662
210502;13.638246;94.979537;9.320718;0.221488;13.724566;-2.487554;13.124549;27.048207
210503;69.290093;97.539817;59.229312;2.436754;43.136162;4.834579;15.293458;22.120872
210504;21.565963;92.520595;13.029947;0.271071;19.864452;-2.143638;12.700985;27.197073
210505;36.163643;94.846876;22.664955;0.430555;21.654637;0.846653;13.885131;24.833084
210601;56.196361;94.09397;43.501023;2;24.188728;2.88472;15.514202;21.178219
210602;62.399705;87.629111;52.497487;2.999452;38.905853;-0.245535;12.385976;22.512134
210603;55.48418;92.89785;42.58254;2;21.996491;2.199887;15.420748;21.005329
210604;58.5249;89.786761;47.694388;2.264469;20.839404;1.023754;13.929582;21.740314
210605;52.236429;97.278473;39.88468;2;25.284753;3.132623;16.032131;22.058115
210606;60.27635;91.694235;49.285057;2.39945;25.458812;2.423527;13.976277;21.495837
210607;52.489301;95.976041;40.427963;2;24.479176;3.353301;16.254707;21.39132
210608;57.830322;92.268722;47.171876;2.12435;20.435765;2.485414;14.537589;21.289976
210701;45.491012;94.152359;35.489127;2.162466;16.885261;-0.314902;15.672271;23.275983
210702;40.928064;93.767958;32.644156;2.098578;16.033221;-0.436364;15.005262;24.057192
210703;48.646633;95.650695;35.994695;2;19.767088;1.320554;16.384732;22.303943
210704;48.578752;95.626612;36.394472;2;18.946807;1.159675;16.743128;21.914014
210705;48.540162;81.467197;35.034195;2.456394;45.534143;-5.284079;12.211082;26.56967
210706;48.0891;83.670401;37.52988;2.470589;34.007353;-4.134867;12.71523;25.78845
210707;45.359468;80.676732;33.765431;2.216962;40.976882;-5.151712;11.586448;27.13368
210708;50.465162;92.89358;38.436827;2.167494;19.860703;-1.097395;15.805873;22.741819
210709;40.088639;85.538309;28.056983;1.004676;33.99834;-4.145951;12.6104;26.423879
210710;51.12559;83.854465;39.026801;2.469298;32.65495;-4.478539;12.689419;25.702012
210801;51.829874;91.004911;38.594752;2.172977;27.565059;-2.389854;15.533416;23.05906
210802;59.510081;85.217765;45.691547;2.01633;89.63279;-2.903927;13.768936;22.419633
210803;51.511963;89.450189;36.977758;2.271723;31.285415;-3.44442;15.019141;23.82154
210804;48.212904;89.835108;35.448974;2.415228;23.975212;-3.520042;14.850157;24.229853
210805;54.442957;88.31286;39.246942;2.198474;49.703774;-3.464866;14.968062;23.425738
210806;58.754149;83.320703;44.119693;2.065081;105.11667;-3.771088;13.600503;23.134499
210807;53.813746;92.478406;39.929141;2;37.964813;-1.479205;16.358774;21.602338
210808;56.932575;86.582741;41.223896;2.108698;72.640769;-3.551123;14.621285;23.180632
210809;50.994414;92.651279;36.543711;2.073077;26.737619;-2.319156;16.511688;22.530556
210901;62.61037;92.391096;50.48894;2.666122;40.411951;3.208854;14.156842;21.397869
210902;64.737388;92.325345;51.992972;2.564726;49.347539;3.311388;14.058719;21.53968
210903;64.466576;89.670333;53.159646;2.982164;63.445862;1.508888;13.039328;22.024197
210904;65.81473;93.426303;54.488619;2.975215;64.867785;3.930556;14.432176;21.177778
211001;60.123536;87.374553;46.642347;2.186964;100.057409;-0.710067;13.619903;22.097831
211002;62.684523;81.874334;52.566492;2.93977;108.521041;-2.420446;11.357862;23.463581
211003;57.601584;91.498475;43.844872;2;33.988534;0.900585;14.791304;21.731856
211004;60.066896;87.514084;48.897125;2.486201;46.295386;-0.289788;13.157843;22.22454
211005;65.307222;80.337131;62.16969;3.902388;123.626728;1.980129;14.685504;20.520413
211101;43.4606;97.671249;32.752672;1.944018;17.578777;2.38614;16.91456;22.269007
211102;36.03147;98.240205;28.729328;0.969137;15.07725;2.034243;16.747084;22.787035
211103;34.52935;91.272092;25.284908;0.696777;19.451764;-2.350688;13.584511;25.524317
211104;42.605018;98.563259;32.913185;1.895051;18.560484;3.226706;16.884898;22.211177
211201;69.886736;82.507917;73.112222;3.801266;126.899873;6.048049;18.335592;18.353782
211202;63.072583;84.378839;51.770124;2.788706;103.261572;-0.782353;13.051812;21.842753
211203;84.370781;88.996844;181.107207;86.974917;159.621891;13.479313;24.177476;16.632285
211204;65.43632;82.372413;58.658949;3.088318;112.634557;1.514933;15.219442;20.057121
211205;73.079259;82.445062;94.824997;15.699257;127.22222;7.434429;19.620446;17.6139
211206;66.169146;81.66887;61.65468;3.179377;116.87477;2.325395;15.179924;20.256283
211207;83.890378;88.748212;122.79931;9.747141;206.087879;13.848498;23.653846;17.748558
211208;78.895743;86.872822;99.140754;5.627127;184.592736;11.424527;21.836706;17.97267
211209;83.477825;87.380683;133.588244;25.162313;185.442348;13.09874;23.368341;17.058749
211210;92.303894;95.319092;181.642998;67.699753;207.955254;18.785157;28.30852;16.213268
211301;61.770978;94.596865;50.34713;2.493269;36.801439;3.060959;14.794041;22.256781
211302;56.093491;94.291095;43.905787;2.4904;26.541628;2.973471;15.491519;21.395858
211303;59.238983;93.134952;45.149934;2.513694;43.789509;2.186614;14.22126;22.690157
211304;62.148993;94.110557;50.279514;2.481561;39.040122;2.976042;14.538542;22.65625
211305;61.639364;95.449335;53.432749;2.505044;29.335482;3.505263;15.319298;21.519298
211306;62.95;94.36;52.333333;2.461538;24.9;2.9;14.6;21.8
211307;61.20101;95.465152;53.746465;2.503153;26.808485;3.493939;15.412121;21.427273
220101;82.057939;87.062929;118.293626;18.862519;127.836779;17.829094;26.597629;13.726375
220102;83.406468;89.995937;118.995541;8.72642;163.229891;19.436674;27.546908;12.292644
220103;83.892457;90.46694;116.96845;7.595005;149.676745;19.403249;27.650542;12.350903
220104;79.738795;86.055491;109.452782;6.828664;132.329594;17.364721;26.621007;13.28204
220105;78.091952;85.769483;98.485462;5.239918;100.433653;15.901727;25.783298;14.925316
220106;83.896069;89.703659;120.532141;10.350899;157.466845;19.482014;27.502518;12.145863
220201;86.93853;96.693457;107.647772;5.734109;77.362503;20.235701;32.522064;10.101042
220202;91.517251;95.153865;160.562569;54.908585;284.893574;17.62216;30.554217;12.219895
220203;88.46125;95.604074;119.78058;13.131743;184.602259;19.666205;32.222471;9.923901
220204;91.329394;97.704051;134.064227;23.024049;224.917402;20.028578;32.338809;10.516523
220205;85.744006;96.400659;99.735511;5.270177;97.357325;20.091874;32.413485;9.898297
220206;87.035722;98.266139;101.163099;4.743735;71.456067;20.909589;33.369635;9.36153
220301;85.489784;93.130358;109.182567;6.227154;143.812385;19.12173;30.575758;11.08429
220302;86.603548;95.583743;106.340668;5.614498;117.271408;19.651618;31.491424;10.631392
220303;80.044255;87.171688;103.707986;5.567821;126.428947;16.706012;27.250404;13.456797
220304;85.877575;94.184165;105.897568;5.993072;146.954316;19.451291;31.411122;10.35283
220305;85.536318;92.17857;113.416011;6.957864;174.250084;19.174405;30.425;10.872024
220401;84.590419;93.372103;106.190651;5.791502;70.204426;18.370712;29.960239;12.333318
220402;79.429342;88.42911;97.307368;4.991655;73.066118;15.810648;26.884717;14.769139
220403;87.698939;96.494685;112.10092;6.421326;71.423628;19.920281;31.974096;10.664357
220404;87.255583;95.773636;113.307479;6.469604;72.251117;19.272503;31.096512;11.603967
220405;88.263357;96.509451;116.702862;6.681379;91.872827;19.826998;31.84638;11.065385
220406;88.908139;98.247565;110.491618;6.383539;84.350399;20.430851;32.625;10.290426
220501;86.14392;91.60068;119.099356;12.606131;225.220844;19.255641;30.627151;10.18021
220502;79.826826;86.564211;103.886787;6.156684;140.644472;17.219625;27.202417;12.906667
220503;89.295457;91.734163;174.879567;75.677182;156.268028;20.681704;32.542349;8.226619
220504;88.445737;91.26687;165.396796;65.815054;160.962137;20.420112;31.814087;8.957132
220505;84.802304;91.94735;107.648899;6.566274;201.373774;19.296955;31.522327;9.995873
220506;81.483816;86.394563;117.605688;15.026792;155.405074;17.818618;27.566615;12.15636
220507;86.754538;92.846517;116.367518;10.167649;237.498332;19.658394;31.751825;9.591241
